,loss,task_name,info_need,model,num_epochs,condition,acc,f1_other,f1_infoneed,precision_infoneed,recall_infoneed,recall_other,precision_other,recall_macro,precision_macro,recall_micro,precision_micro,recall_weighted,precision_weighted,f1_weighted,f1_macro,f1_micro,mcc,report,preds,labels,stopwords_removed,resampled
0,None,text_classification,Temperature,NB,None,no_context,None,0.7499999999999999,0.05357142857142857,0.027522935779816515,1.0,0.6,1.0,0.8,0.5137614678899083,0.6044776119402985,0.6044776119402985,0.6044776119402985,0.9891140627139532,0.7422041577825158,0.40178571428571425,0.6044776119402985,None,None,None,None,False,False
1,None,text_classification,Temperature,NB,None,no_context,None,0.7587822014051523,0.055045871559633024,0.02830188679245283,1.0,0.6113207547169811,1.0,0.8056603773584905,0.5141509433962265,0.6156716417910447,0.6156716417910447,0.6156716417910447,0.9891227823148407,0.7509045559218069,0.40691403648239266,0.6156716417910447,None,None,None,None,False,False
2,None,text_classification,Temperature,NB,None,no_context,None,0.7529411764705882,0.05405405405405406,0.027777777777777776,1.0,0.6037735849056604,1.0,0.8018867924528301,0.5138888888888888,0.6082089552238806,0.6082089552238806,0.6082089552238806,0.9891169154228855,0.7451178131599554,0.40349761526232114,0.6082089552238806,None,None,None,None,False,False
3,None,text_classification,Temperature,NB,None,no_context,None,0.8124999999999999,0.045454545454545456,0.023529411764705882,0.6666666666666666,0.6867924528301886,0.994535519125683,0.6767295597484276,0.5090324654451944,0.6865671641791045,0.6865671641791045,0.6865671641791045,0.9836660477746274,0.8039136702849388,0.42897727272727265,0.6865671641791045,None,None,None,None,False,False
4,None,text_classification,Temperature,NB,None,no_context,None,0.8009049773755655,0.06382978723404256,0.03333333333333333,0.75,0.6704545454545454,0.9943820224719101,0.7102272727272727,0.5138576779026217,0.6716417910447762,0.6716417910447762,0.6716417910447762,0.9800380121862595,0.7899038551346473,0.43236738230480404,0.6716417910447762,None,None,None,None,False,False
5,None,text_classification,Temperature,NB,None,no_context,None,0.8577586206896551,0.05714285714285715,0.029850746268656716,0.6666666666666666,0.7537878787878788,0.995,0.7102272727272727,0.5124253731343283,0.7528089887640449,0.7528089887640449,0.7528089887640449,0.9841556263625693,0.8487629379531743,0.45745073891625615,0.752808988764045,None,None,None,None,False,False
6,None,text_classification,Temperature,NB,None,no_context,None,0.7713625866050808,0.0198019801980198,0.01020408163265306,0.3333333333333333,0.6325757575757576,0.9881656804733728,0.4829545454545454,0.49918488105301295,0.6292134831460674,0.6292134831460674,0.6292134831460674,0.9771773479021288,0.7629180854094958,0.3955822834015503,0.6292134831460674,None,None,None,None,False,False
7,None,text_classification,Temperature,NB,None,no_context,None,0.8214285714285715,0.06976744186046512,0.03614457831325301,1.0,0.696969696969697,1.0,0.8484848484848485,0.5180722891566265,0.700374531835206,0.700374531835206,0.700374531835206,0.9891701638012724,0.812982940759267,0.4455980066445183,0.700374531835206,None,None,None,None,False,False
8,None,text_classification,Temperature,NB,None,no_context,None,0.8669527896995708,0.08823529411764706,0.046153846153846156,1.0,0.7651515151515151,1.0,0.8825757575757576,0.5230769230769231,0.7677902621722846,0.7677902621722846,0.7677902621722846,0.9892826274848746,0.8582031549177513,0.47759404190860894,0.7677902621722846,None,None,None,None,False,False
9,None,text_classification,Temperature,NB,None,no_context,None,0.895397489539749,0.10714285714285715,0.05660377358490566,1.0,0.8106060606060606,1.0,0.9053030303030303,0.5283018867924528,0.8127340823970037,0.8127340823970037,0.8127340823970037,0.9894000423998304,0.8865406959173121,0.5012701733413031,0.8127340823970037,None,None,None,None,False,False
